# specify 1 map per line, mapname|factoryid
# ex: aerowalk|ffa
# see factories.txt for valid factory id values
almostlost|hoq_ca
asylum|hoq_ca
blackcathedral|hoq_ca
brimstoneabbey|hoq_ca
campgrounds|hoq_ca
cannedheat|hoq_ca
castledeathstalker|hoq_ca
chemicalreaction|hoq_ca
cliffside|hoq_ca
coldwar|hoq_ca
deathorglory|hoq_ca
deadandgone|hoq_ca
deepinside|hoq_ca
demonkeep|hoq_ca
devilish|hoq_ca
dreadfulplace|hoq_ca
drunkenmummy|hoq_ca
electrichead|hoq_ca
eviscerated|hoq_ca
evolution|hoq_ca
eyetoeye|hoq_ca
foolishlegacy|hoq_ca
grimdungeons|hoq_ca
hearth|hoq_ca
hellsgate|hoq_ca
henhouse|hoq_ca
heroskeep|hoq_ca
hiddenfortress|hoq_ca
intervention|hoq_ca
leftbehind|hoq_ca
leviathan|hoq_ca
midlifecrisis|hoq_ca
monastery|hoq_ca
overkill|hoq_ca
purgatory|hoq_ca
quarantine|hoq_ca
realmofsteelrats|hoq_ca
repent|hoq_ca
retribution|hoq_ca
revolver|hoq_ca
seamsandbolts|hoq_ca
servitude|hoq_ca
shakennotstirred|hoq_ca
smash|hoq_ca
solid|hoq_ca
somewhatdamaged|hoq_ca
spacechamber|hoq_ca
terminatria|hoq_ca
theatreofpain|hoq_ca
theedge|hoq_ca
theoldendomain|hoq_ca
threestory|hoq_ca
thunderstruck|hoq_ca
tornado|hoq_ca
trinity|hoq_ca
warehouse|hoq_ca
wargrounds|hoq_ca
windowpain|hoq_ca
windsongkeep|hoq_ca
